ITEM ;NOME;AMBIENTE;LOCAL ;TAG ;ENDEREÇO ;CNPJ;MODELO;NUMERO DE SERIE
39;SEDE;SEDE PISO SUPERIOR;AUDITÓRIO;SPS-AU-017;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 48.000 BTUS QUENTE E FRIO 220VATNW48GMLP0.ANWZBRZ;912AZUJ7H822
40;SEDE;ANEXO PISO TÉRREO;SALA ADMINISTRAÇÃO;APT-SA-001;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 36000 BTUS QUENTE E FRIO 220V ATUW36GMLP0.ANWZBRZ;007AZXCA2306
41;SEDE;ANEXO PISO TÉRREO;SALA ADMINISTRAÇÃO;APT-SA-002;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 36000 BTUS QUENTE E FRIO 220V ATUW36GMLP0.ANWZBRZ;102AZNK6C367
42;SEDE;ANEXO PISO TÉRREO;SALA ADMINISTRAÇÃO;APT-SA-003;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 36000 BTUS QUENTE E FRIO 220V ATUW36GMLP0.ANWZBRZ;007AZJTA2212
43;SEDE;ANEXO PISO TÉRREO;SALA ADMINISTRAÇÃO;APT-SA-004;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 36000 BTUS QUENTE E FRIO 220V ATUW36GMLP0.ANWZBRZ;102AZAL6C368
44;SEDE;ANEXO PISO TÉRREO;SALA ADMINISTRAÇÃO;APT-SA-005;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 36000 BTUS QUENTE E FRIO 220V ATUW36GMLP0.ANWZBRZ;005AZAL3P576
45;SEDE;ANEXO PISO TÉRREO;SALA ADMINISTRAÇÃO;APT-SA-006;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 36000 BTUS QUENTE E FRIO 220V ATUW36GMLP0.ANWZBRZ;007AZBZDA973
46;SEDE;ANEXO PISO TÉRREO;SALA ALMOXARIFADO;APT-AL-007;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 24000 BTUS QUENTE E FRIO 220V ATUW24GMLP0.ANWZBRZ;211AZJT4E036
47;SEDE;ANEXO PISO TÉRREO;SALA TECNO INFO;APT-SI-008;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 18000 BTUS QUENTE FRIO ATNW18GPLP0.ANWZBRZ;012AZCQ74923
48;SEDE;ANEXO PISO TÉRREO;SALA TECNO INFO;APT-SI-009;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 36000 BTUS QUENTE E FRIO 220V ATUW36GMLP0.ANWZBR1;401AZYE7V186
49;SEDE;ANEXO PISO TÉRREO;SALA TECNO INFO;APT-SI-010;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 36000 BTUS QUENTE E FRIO 220V ATUW36GMLP0.ANWZBR1;401AZALD0872
50;SEDE;ANEXO PISO SUPERIOR;REFEITÓRIO;APS-RF-001;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT TETO INVERTER LG 36000 BTUS QUENTE/FRIO  AVNW36GM1P0.ANWZBRZ;708TADRA3442
51;SEDE;ANEXO PISO SUPERIOR;REFEITÓRIO;APS-RF-002;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT TETO INVERTER LG 36000 BTUS QUENTE/FRIO  AVNW36GM1P0.ANWZBRZ;903AZCQ5K635
